EXTERNAL:00000212 | Function | CommDlgExtendedError
EXTERNAL:00000213 | Function | GetOpenFileNameW
EXTERNAL:00000214 | Function | GetSaveFileNameW
EXTERNAL:00000215 | Function | timeGetTime
00400000 | Label | IMAGE_DOS_HEADER_00400000
00400022 | Label | IMAGE_DOS_HEADER_00400000.e_res[4][3]
00400040 | Label | IMAGE_DOS_HEADER_00400000.e_program[0]
00401000 | Function | GetStdHandle
00401010 | Function | GetConsoleMode
00401020 | Function | TlsGetValue
00401030 | Function | GetLastError
00401040 | Function | SetLastError
00401050 | Function | RaiseException
00401060 | Function | GetTickCount
00401070 | Function | ExitProcess
004010a0 | Function | GetCurrentProcessId
004010b0 | Function | GetCurrentThreadId
004010c0 | Function | GetCurrentProcess
004010d0 | Function | ReadProcessMemory
004010f0 | Function | GetModuleHandleA
00401100 | Function | WriteFile
00401110 | Function | ReadFile
00401120 | Function | CloseHandle
00401130 | Function | SetFilePointer
00401140 | Function | GetFileSize
00401150 | Function | SetEndOfFile
00401160 | Function | GetSystemInfo
00401170 | Function | LoadLibraryW
00401180 | Function | LoadLibraryA
00401190 | Function | GetProcAddress
004011a0 | Function | FreeLibrary
004011b0 | Function | FormatMessageW
004011c0 | Function | DeleteFileW
004011d0 | Function | MoveFileW
004011e0 | Function | CreateFileW
004011f0 | Function | GetFileAttributesW
00401200 | Function | CreateDirectoryW
